序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
RISB0192	Diptera	Hermetia illucens	Citrobacter	Citrobacter amalonaticus	can directly promote the expression of two gene families related to intestinal protein metabolism: Hitryp serine protease trypsin family and Himtp metallopeptidase family
RISB0193	Hemiptera	Recilia dorsalis	Klebsiella	Klebsiella electrica	nitrogen-fixing bacterium, R. electrica has all the nitrogen fixation genes and colonizes the gut lumen of leafhoppers
RISB0194	Hemiptera	Myzus persicae	Rickettsiella	Rickettsiella	reduced aphid fecundity, decreased heat tolerance, and modified aphid body color, from light to dark green
RISB0195	Lepidoptera	Spodoptera littoralis	None	gut bacteria	None
RISB0196	Hemiptera	Karenia caelatata	Candidatus Karelsulcia	Candidatus Sulcia muelleri	None
RISB0197	Hemiptera	Tanna sp.	Candidatus Karelsulcia	Candidatus Sulcia muelleri	None
RISB0198	Diptera	Hermetia illucens	None	microbiome	the microbiota modulates its host expression profile during ontogeny which suggests that the microbiota is essential to BSFL’s normal development.
RISB0199	Hymenoptera	Trachymyrmex	Amycolatopsis	Amycolatopsis	produce antibiotic EC0-0501 that has strong activity against ant-associated Actinobacteria and may also play a role in bacterial competition in this niche
RISB0200	Orthoptera	Locusta migratoria	Metarhizium	Metarhizium anisopliae	produces the volatile compound phenylethyl alcohol (PEA) that causes behavioral avoidance in locusts, upregulate expression of LmOBP1 negatively affects the insect immune responses to ultimately benefit successful mycosis by the pathogen
RISB0201	Hemiptera	Aspongopus chinensis	Penicillium	Penicillium chrysogenum	this strain could generate antibacterial secondary metabolites, which could potently inhibit gram-positive bacteria growth in vitro
RISB0202	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus	Arsenophonus ameliorated growth performance of A. gossypii on an amino acid-deficient diet
RISB0203	Diptera	Belgica antarctica	Serratia	Serratia plymuthica	None
RISB0204	Diptera	Belgica antarctica	Serratia	Serratia fonticola	None
RISB0205	Diptera	Hermetia illucens	None	gut bacteria	None
RISB0206	Hemiptera	Colladonus geminatus	Candidatus Karelsulcia	Candidatus Sulcia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0207	Hemiptera	Colladonus montanus reductus	Candidatus Karelsulcia	Candidatus Sulcia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0208	Hemiptera	Circulifer tenellus	Candidatus Karelsulcia	Candidatus Sulcia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0209	Hemiptera	Euscelidius variegatus	Candidatus Karelsulcia	Candidatus Sulcia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0210	Hemiptera	Colladonus geminatus	Candidatus Nasuia	Candidatus Nasuia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0211	Hemiptera	Colladonus montanus reductus	Candidatus Nasuia	Candidatus Nasuia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0212	Hemiptera	Circulifer tenellus	Candidatus Nasuia	Candidatus Nasuia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0213	Hemiptera	Euscelidius variegatus	Candidatus Nasuia	Candidatus Nasuia	produce essential amino acids lacking in the leafhoppers' phloem sap diet
RISB0214	Hemiptera	Euscelidius variegatus	Candidatus Yamatotia	Candidatus Yamatotia cicadellidicola	None
RISB0215	Hemiptera	Circulifer tenellus	Wolbachia	Wolbachia	Wolbachia may increase this insect's ability to tolerate or acquire the pathogen Candidatus Phytoplasma trifolii
RISB0216	Coleoptera	Xyleborus affinis	Beauveria	Beauveria bassiana	B. bassiana has the insecticidal activity  on X. affinis adult females and their progeny
RISB0217	Hymenoptera	Xylocopa appendiculata	Xanthomonas	Xanthomonas sp. HY-74	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products
RISB0218	Hymenoptera	Xylocopa appendiculata	Xanthomonas	Bacillus sp. HY-75	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products
RISB0219	Hymenoptera	Eumenes decorates	Xanthomonas	Xanthomonas sp. HY-74	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products
RISB0220	Hymenoptera	Eumenes decorates	Xanthomonas	Bacillus sp. HY-75	strains biodegraded polyethylene terephthalate PET powder, broke it into its degradation products
RISB0221	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia	symbiont modulates Kr-h1 expression to enhance ovarian development and egg production of R. pedestris by increasing the biosynthesis of the two reproduction-associated proteins, hexamerin-α and vitellogenin
RISB0222	Hemiptera	Diaphorina citri	Candidatus Kirkpatrickella	Candidatus Kirkpatrickella diaphorinae	None
RISB0223	Hemiptera	Bemisia tabaci	Candidatus Cardinium	Candidatus Cardinium	Cardinium could inhibit the defense response of the host plant and decrease the detoxification metabolism ability of the host whitefly, decrease the expression of detoxification metabolism genes, especially the uridine 5'-diphospho-glucuronyltransferase and P450 genes,
RISB0224	Lepidoptera	Antheraea mylitta	None	gut bacteria	None
RISB0225	Diptera	Mayetiola hordei	None	gut bacteria	None
RISB0226	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus entomosocium IIL-ClNone5	metabolize different pesticides
RISB0227	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus entomosocium IIL-DmNone1	metabolize different pesticides
RISB0228	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus entomosocium IIL-SusEc	metabolize different pesticides
RISB0229	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus entomosocium IIL-Lc32	metabolize different pesticides
RISB0230	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus entomosocium IIL-SpNone6	metabolize different pesticides
RISB0231	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus spodopteracolus IIL-Luf18	metabolize different pesticides
RISB0232	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus spodopteracolus IIL-SusEm	metabolize different pesticides
RISB0233	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus spodopteracolus IIL-Cl25	metabolize different pesticides
RISB0234	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus spodopteracolus IIL-Sp24	metabolize different pesticides
RISB0235	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola	None
RISB0236	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Buchnera the nutritional endosymbiont of A. pisum is located inside of bacteriocytes and requires aspartate from the aphid host, because it cannot make it de novo. Further Buchnera needs aspartate for the biosynthesis of the essential amino acids lysine and threonine, which the aphid and Buchnera require for survival
RISB0237	Diptera	Bactrocera cucurbitae	Pseudomonas	Pseudomonas	None
RISB0238	Lepidoptera	Hyphantria cunea	None	gut bacteria	None
RISB0239	Thysanoptera	Frankliniella intonsa	Wolbachia	Wolbachia	None
RISB0240	Lepidoptera	Spodoptera frugiperda	Enterobacter	Enterobacter	None
RISB0241	Lepidoptera	Spodoptera frugiperda	Enterococcus	Enterococcus	None
RISB0242	Lepidoptera	Spodoptera frugiperda	Providencia	Providencia	None
RISB0243	Lepidoptera	Spodoptera frugiperda	Ralstonia	Ralstonia	None
RISB0244	Lepidoptera	Spodoptera frugiperda	Sediminibacterium	Sediminibacterium	None
RISB0245	Hymenoptera	Vespa velutina	Convivina	Convivina intestini strain DSM 28795	adapt towards amino acid metabolism
RISB0246	Hymenoptera	Vespa velutina	Convivina	Convivina praedatoris	adapt towards carbohydrate metabolism
RISB0247	Coleoptera	Tenebrio molitor	Cronobacter	Cronobacter	may be indirectly involved in the digestion of PE
RISB0248	Coleoptera	Tenebrio molitor	Enterococcus	Enterococcus	associated with PE biodegradation
RISB0249	Coleoptera	Tenebrio molitor	Lactococcus	Lactococcus	associated with PE biodegradation
RISB0250	Coleoptera	Tenebrio molitor	Spiroplasma	Spiroplasma	associated with PE biodegradation
RISB0251	Coleoptera	Sitophilus oryzae	Sodalis	Sodalis pierantonius	may infulence immunity, metabolism, metal control, apoptosis, and bacterial stress response
RISB0252	Coleoptera	Bostrichidae	Candidatus Bostrichicola	Bostrichicola ureolyticus	complement the function of Shikimatogenerans by recycling urea and provisioning the essential amino acid lysine, thereby providing additional benefits on nitrogen-poor diets
RISB0253	Coleoptera	Bostrichidae	Candidatus Shikimatogenerans	Shikimatogenerans bostrichidophilus	encodes the shikimate pathway to produce tyrosine precursors in its severely reduced genome, likely supplementing the beetles’ cuticle biosynthesis, sclerotisation, and melanisation.
RISB0254	Hymenoptera	Camponotus pennalicus	Candidatus Blochmanniella	Candidatus Blochmanniella pennsylvanica	None
RISB0255	Hymenoptera	Camponotus pennalicus	Wolbachia	Wolbachia pipientis	None
RISB0256	Hymenoptera	Leptocybe invasa	Bacteroides	Bacteroides	Differences in Male-Killing Rickettsia Bacteria between Lineages of the Invasive Gall-Causing Pest Leptocybe invasa
RISB0257	Hymenoptera	Leptocybe invasa	Rickettsia	Rickettsia	Differences in Male-Killing Rickettsia Bacteria between Lineages of the Invasive Gall-Causing Pest Leptocybe invasa
RISB0258	Diptera	Bactrocera dorsalis	Bacillus	Bacillus	produce TMP or TTMP
RISB0259	Diptera	Bactrocera cucurbitae	Bacillus	Bacillus	produce TMP or TTMP
RISB0260	Hemiptera	plant-feeding true bugs	None	microbiome	The dramatic replacements of dominant bacteria in the plant-feeding true bugs may help to drive the adaptive radiation of plant-feeding true bugs in the early Cretaceous
RISB0261	Hemiptera	Maiestas dorsalis	Candidatus Karelsulcia	Sulcia muelleri	Sulcia is responsible for synthesizing eight essential amino acids (leucine, isoleucine, threonine, lysine, arginine, tryptophan, phenylalanine, and valine)
RISB0262	Hemiptera	Maiestas dorsalis	Candidatus Nasuia	Nasuia deltocephalinicola	are responsible for synthesizing two essential amino acids (histidine and methionine) and riboflavin (vitamin B2)
RISB0263	Lepidoptera	Homona magnanima	Wolbachia	Wolbachia	To achieve Male killing (MK), Wolbachia impaired the host dosage compensation system and triggered abnormal apoptosis in male embryos.Also, disrupted the sex-determination cascade of males by inducing female-type splice variants of doublesex (dsx), a downstream regulator of the sex-determining gene cascade.
RISB0264	Lepidoptera	Homona magnanima	Wolbachia	Wolbachia	To achieve Male killing (MK), Spiroplasma triggered abnormal apoptosis in male embryos. Also, disrupted the sex-determination cascade of males by inducing female-type splice variants of doublesex (dsx), a downstream regulator of the sex-determining gene cascade.
RISB0265	Lepidoptera	Synchalara rhombota	Klebsiella	Klebsiella	None
RISB0266	Lepidoptera	Synchalara rhombota	None	Tenericutes	None
RISB0267	Lepidoptera	Synchalara rhombota	None	Ascomycota	None
RISB0268	Lepidoptera	Synchalara rhombota	None	Basidiomycota	None
RISB0269	Hemiptera	Recilia dorsalis	Pantoea	Pantoea	play a crucial role in the recycling of nitrogenous waste
RISB0270	Hemiptera	Recilia dorsalis	Tistrella	Tistrella	None
RISB0271	Hymenoptera	Osmia excavata	None	gut bacteria	None
RISB0272	Hemiptera	Aleurocanthus camellia	None	gut bacteria	has the potential of degrading plant cell wall
RISB0273	Hemiptera	Philanus spumarius	None	gut bacteria	None
RISB0274	Hemiptera	Apolygus lucorum	None	bacteria	None
RISB0275	Lepidoptera	Spodoptera frugiperda	None	gut microbiota	None
RISB0276	Hemiptera	Riptortus pedestris	Caballeronia	Caballeronia insecticola	Gut symbiont resulted in increase in the body size and weight of male adults;increased dispersal capacity of male adults especially for flight
RISB0277	Hemiptera	Myzus persicae	Rickettsiella	Rickettsiella viridis	parasitoids showing a preference for probing aphids infected with R. viridis
RISB0278	Lepidoptera	Hyphantria cunea	Enterococcus	Enterococcus strain (HcM7)	None
RISB0279	Diptera	Bactrocera tryoni	None	Enterobacteriaceae	volatile organic compounds (MVOCs) emitted by Enterobacteriaceae can attracting virgin females
RISB0280	Coleoptera	Xylosandrus crassiusculus	Pantoea	Pantoea 1C4	plays both a nutritional role, by providing essential amino acids and enzymes for the hydrolysis of plant biomass, and a defensive role, by producing antibiotics.
RISB0281	Coleoptera	Xylosandrus germanus	Pantoea	Pantoea 1C4	plays both a nutritional role, by providing essential amino acids and enzymes for the hydrolysis of plant biomass, and a defensive role, by producing antibiotics.
RISB0282	Hemiptera	Aphis gossypii	Candidatus Hamiltonella	Candidatus Hamiltonella	Hamiltonella retarded the growth and development of cotton aphids accompanied by the downregulation of genes related to energy synthesis and nutrient metabolism
RISB0283	Hymenoptera	Formica	Lactobacillus	Lactobacillus	None
RISB0284	Hymenoptera	Formica	Spiroplasma	Spiroplasma	None
RISB0285	Hymenoptera	Formica	Wolbachia	Wolbachia	None
RISB0286	Lepidoptera	Diatraea saccharalis	Pseudomonas	Pseudomonas sp. GCEP-1None1	associated with cellulose degradation
RISB0287	Coleoptera	Euops chinensis	Penicillium	Penicillium herquei	associating with carbohydrate-active enzymes, cellulose and hemicellulose degradation, transporter, and terpenoid biosynthesis
RISB0288	Hemiptera	Fulgoromorpha	Candidatus Vidania	Candidatus Vidania fulgoroideae	providing seven out of ten essential amino acids
RISB0289	Diptera	Eurosta solidaginis	None	gut bacteria	None
RISB0290	Lepidoptera	Helicoverpa armigera	Buchnera	Buchnera aphidicola	None
RISB0291	Lepidoptera	Helicoverpa armigera	Serratia	Serratia symbiotica	None
RISB0292	Lepidoptera	Lymantria dispar asiatica	Lactobacillus	Lactobacillus sp.	Beauveria bassiana infection-based assays showed that the mortality of non-axenic L. dispar asiatica larvae was significantly higher than that of axenic larvae at 72 h.
RISB0293	Diptera	Zeugodacus cucurbitae	Enterobacter	Enterobacter	None
RISB0294	Diptera	Ceratitis capitata	Enterobacter	Enterobacter	None
RISB0295	Diptera	Zeugodacus cucurbitae	Klebsiella	Klebsiella	None
RISB0296	Diptera	Ceratitis capitata	Klebsiella	Klebsiella	None
RISB0297	Diptera	Drosophila suzukii	Klebsiella	Klebsiella oxytoca	promotes host fitness in special ecological niche by affecting sugar metabolism in Drosophila suzukii
