Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Belgica antarctica	Diptera	Chironomidae	Orthocladiinae	Belgica	Antarctic midge	Belgica antarctica is a species of flightless midge, endemic to the continent of Antarctica. At 2–6 mm (0.079–0.24 in) long, it is the largest purely terrestrial animal native to the continent, as well as its only insect. It also has the smallest known insect genome as of 2014, with only 99 million base pairs of nucleotides (and about 13,500 genes). It is the only insect that can survive year-round in Antarctica.	sebastianlescano@BY-NC	GCA_000775305.1	Scaffold	C:94.1%[S:93.4%,D:0.7%],F:1.1%,M:4.8%,n:1367
Bemisia tabaci	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia	silverleaf whitefly or sweet potato whitefly	Bemisia tabaci is one of several species of whitefly that are currently important agricultural pests.The silverleaf whitefly thrives worldwide in tropical, subtropical, and less predominately in temperate habitats. Cold temperatures kill both the adults and the nymphs of the species. The silverleaf whitefly can be confused with other insects such as the common fruitfly, but with close inspection, the whitefly is slightly smaller and has a distinct wing color that helps to differentiate it from other insects.	Oscar Angel Sánchez Flores@BY-NC	GCA_903994105.1	Scaffold	C:87.6%[S:84.9%,D:2.7%],F:2.6%,M:9.8%,n:1367
Blatta orientalis	Blattodea	Blattidae	Blattinae	Blatta	None	The oriental cockroach , also known as the waterbug  or black cockroach , is a large species of cockroach, adult males being 18–29 mm  and adult females being 20–27 mm . It is dark brown or black in color and has a glossy body. The female has a somewhat different appearance from the male, appearing to be wingless at a casual glance, but is brachypterous, having non-functional wings just below her head. She has a wider body than the male. The male has long wings, which cover three quarters of the abdomen and are brown in color, and has a narrower body. Both of them are flightless. The female oriental cockroach looks somewhat similar to the Florida woods cockroach and may be mistaken for it. Originally endemic to the Crimean Peninsula and the region around the Black Sea and the Caspian Sea, its distribution is now cosmopolitan.	Wikipedia	None	None	None
Blattaria	Blattodea	None	None	Blattaria	None	Description is currently not available	None	None	None	None
Blattella germanica	Blattodea	Blattellidae	None	Blattella	Cockroach	Blattella germanica is a small species of cockroach, typically about 1.1 to 1.6 cm (0.43 to 0.63 in) long. In color it varies from tan to almost black, and it has two dark, roughly parallel, streaks on the pronotum running anteroposteriorly from behind the head to the base of the wings. Although B. germanica has wings, it can barely fly, although it may glide when disturbed. Of the few species of cockroach that are domestic pests, it probably is the most widely troublesome example. It is very closely related to the Asian cockroach, and to the casual observer, the two appear nearly identical and may be mistaken for each other. However, the Asian cockroach is attracted to light and can fly like a moth, while the German cockroach cannot.	D. Sikes@BY-SA	GCA_003018175.1	Scaffold	C:96.1%[S:93.9%,D:2.2%],F:1.7%,M:2.2%,n:1367
Blissus insularis	Hemiptera	Blissidae	None	Blissus	None	Blissus insularis, the southern chinch bug, is a species of true bug in the family Blissidae. It is found in North America and Oceania. The southern chinch bug is known to be a pest due to its feeding on St. Augustine grass.	Mike Quinn, Austin, TX@CC BY-NC	None	None	None
Bombus impatiens	Hymenoptera	Apidae	Apinae	Bombus	common eastern bumble bee	Bombus impatiens is the most commonly encountered bumblebee across much of eastern North America. They can be found in the Eastern temperate forest region of the eastern United States, southern Canada, and the eastern Great Plains. Because of their great adaptability, they can live in country, suburbs, and even urban cities. This adaptability makes them a great pollinator species, leading to an increase in their commercial use by greenhouse industry. This increase consequently led to their farther spread outside their previous distribution range. They are considered one of the most important species of pollinator bees in North America	scibadger@BY-NC	GCA_000188095.4	Scaffold	C:99.1%[S:99.0%,D:0.1%],F:0.4%,M:0.5%,n:1367
Bombus sonorus	Hymenoptera	Apidae	Apinae	Bombus	None	Bombus sonorus, commonly known as the Sonoran bumble bee, is a species of bumble bee in the family Apidae. It is found in Mexico and southwestern North America. Although it has often been categorized as a subspecies of Bombus pensylvanicus, it is has since been shown to not hybridize with B. pensylvanicus over a broad area of geographic overlap, confirming its status as a distinct species.	Wikipedia	GCA_029958995.1	Scaffold	C:100.00%[S:99.49%,D:0.51%],F:0.00%,M:0.00%,n:1367
Bombus sp.	Hymenoptera	Apidae	Apinae	Bombus	None	Description is currently not available	Wikipedia	None	None	None
Bombus terrestris	Hymenoptera	Apidae	Apinae	Bombus	buff-tailed bumblebee or large earth bumblebee	Bombus terrestris is one of the most numerous bumblebee species in Europe. It is one of the main species used in greenhouse pollination, and so can be found in many countries and areas where it is not native, such as Tasmania.Moreover, it is a eusocial insect with an overlap of generations, a division of labor, and cooperative brood care. The queen is monandrous which means she mates with only one male. B. terrestris workers learn flower colors and forage efficiently.	Mick Talbot@BY	GCA_000214255.1	Chromosome	C:98.3%[S:98.2%,D:0.1%],F:1.0%,M:0.7%,n:1367
Bombyx mori	Lepidoptera	Bombycidae	Bombycinae	Bombyx	domestic silk moth	Bombyx mori  is an insect from the moth family Bombycidae. It is the closest relative of Bombyx mandarina, the wild silk moth. The silkworm is the larva or caterpillar of a silk moth. It is an economically important insect, being a primary producer of silk. A silkworms preferred food are white mulberry leaves, though they may eat other mulberry species and even the osage orange. Domestic silk moths are entirely dependent on humans for reproduction, as a result of millennia of selective breeding. Wild silk moths (other species of Bombyx) are not as commercially viable in the production of silk.	Lupoli Roland@BY-NC	None	Chromosome	C:98.6%[S:97.9%,D:0.7%],F:0.1%,M:1.3%,n:1367
Brachinus elongatulus	Coleoptera	Carabidae	Brachininae	Brachinus	None	Brachinus elongatulus is a species of ground beetle in the family Carabidae. It is found in Central America and North America.	Mike Quinn, Austin, TX@CC BY-NC	None	None	None
Brachynema germari	Hemiptera	Pentatomidae	Pentatominae	Brachynema	None	Description is currently not available	Wikipedia	None	None	None
Brithys crini	Lepidoptera	Noctuidae	Hadeninae	Brithys	None	Brithys crini, the amaryllis borer, crinum borer, lily borer or Kew arches, is a moth of the family Noctuidae. It is a garden pest in parts of its range, as their larvae damage the stems and leaves of lilies, especially lilies of the family Amaryllidaceae.	Wikipedia	None	None	None
Brontispa longissima	Coleoptera	Bostrichidae	Lyctinae	Brontispa	None	Brontispa longissima  is a leaf beetle that feeds on young leaves and damages seedlings and mature coconut palms. It has become an increasingly serious pest of coconuts throughout various growing regions in the Pacific, especially over the last 3 decades, including Indonesia, Solomon Islands, Vietnam, Nauru, Cambodia, Laos, Thailand, Maldives, Myanmar, Hainan Island, and Aru Islands, and most recently, the Philippines.	Wikipedia	None	None	None
Cacopsylla pyri	Hemiptera	Psyllidae	Psyllinae	Cacopsylla	None	Psylla pyri, commonly known as the pear psylla or pear psyllid, is an insect in the family Psyllidae. Originating in Europe and Asia, it has spread to North America. It is a pest of pear trees, sucking the sap, damaging the foliage, flowers and fruit and diminishing the crop.	Wikipedia	None	None	None
Cacopsylla pyricola	Hemiptera	Psyllidae	Psyllinae	Cacopsylla	None	Psylla pyricola	C. Mallor@CC BY-NC	None	None	None
Caenocoris dimidiatus	Hemiptera	Lygaeidae	Lygaeidae	Caenocoris	None	Description is currently not available	Wikipedia	None	None	None
Callosobruchus chinensis	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus	None	Callosobruchus chinensis, also known as the adzuki bean weevil, pulse beetle, Chinese bruchid or cowpea bruchid, is a common species of beetle found in the bean weevil subfamily. Although it is commonly known as the "adzuki bean weevil" it is in fact not a true weevil, belonging instead to the leaf beetle family, Chrysomelidae.	Wikipedia	None	None	None
Callosobruchus maculatus	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus	cowpea weevil or cowpea seed beetle	Callosobruchus maculatus is a member of the leaf beetle family, Chrysomelidae, and not a true weevil. This common pest of stored legumes has a cosmopolitan distribution, occurring on every continent except Antarctica.The beetle most likely originated in West Africa and moved around the globe with the trade of legumes and other crops.As only a small number of individuals were likely present in legumes carried by people to distant places, the populations that have invaded various parts of the globe have likely gone through multiple bottlenecks. Despite these bottlenecks and the subsequent rounds of inbreeding, these populations persist. This ability to withstand a high degree of inbreeding has likely contributed to this species’ prevalence as a pest.	Scott Gilmore@BY-NC	GCA_900659725.1	Contig	C:87.2%[S:83.2%,D:4.0%],F:4.1%,M:8.7%,n:1367
Camponotus floridanus	Hymenoptera	Formicidae	Formicinae	Camponotus	Florida carpenter ant	Camponotus floridanus is a species of ant in the genus Camponotus. First described as Formica floridana by Buckley in 1866, the species was moved to Camponotus by Mayr in 1886.The ant is widespread in Florida and occurs as far north as North Carolina and as far west as Mississippi.	Bob Peterson@BY-SA	GCA_003227725.1	Scaffold	C:99.2%[S:98.8%,D:0.4%],F:0.5%,M:0.3%,n:1367
Camponotus japonicus	Hymenoptera	Formicidae	Formicinae	Camponotus	None	Camponotus japonicus, commonly known as the Japanese carpenter ant,  is a species of ant native to eastern Asia. It is black, and one of the largest ants. A nest has about ten to thousands of individuals, and it can be a pest when it enters households or protects aphids. There are several subspecies of this ant in different areas of Asia, with the largest of the species being located in northern China.	Jonghyun Park@CC BY	None	None	None
Camponotus pennalicus	Hymenoptera	Formicidae	Formicinae	Camponotus	None	Description is currently not available	Wikipedia	None	None	None
Cardiocondyla obscurior	Hymenoptera	Formicidae	Myrmicinae	Cardiocondyla	None	Description is currently not available	Wikipedia	None	None	None
Cassida rubiginosa	Coleoptera	Chrysomelidae	Cassidinae	Cassida	None	The thistle tortoise beetle  is a species of beetle in the subfamily Cassidinae  and the genus Cassida. The thistle tortoise beetle can be recognized by its green, rounded back and it can be found on thistle plants in many regions of North America and Europe. The thistle tortioise beetle was first discovered in 1902 in Lévis, Quebec. In 1931, Nellie F. Paterson was the first to document the mature larva. Later, the instar larva of this species was first recorded in 2004 by Jolanta Świętojańska. The thistle tortoise beetle exhibits multiple defense behaviors, such as a flexible shield, providing a barrier against the mandibles of predators, and an excretion that protects the eggs as well.	Wikipedia	None	None	None
Cavelerius saccharivorus	Hemiptera	Blissidae	None	Cavelerius	None	Blissus saccharivorusIschnodemus saccharivorusMacropes excavatus	Patrick Randall@CC BY-NC	None	None	None
Celatoblatta quinquemaculata	Blattodea	Rhinotermitidae	Heterotermitinae	Celatoblatta	None	Celatoblatta quinquemaculata, the Otago alpine cockroach, is a species of blattid cockroach endemic to New Zealand.	Wikipedia	None	None	None
Cephalcia chuxiongica	Hymenoptera	Pamphiliidae	Cephalciinae	Cephalcia	None	Description is currently not available	Wikipedia	None	None	None
Cephalotes sp.	Hymenoptera	Formicidae	Myrmicinae	Cephalotes	None	Description is currently not available	Wikipedia	None	None	None
Cephalotes rohweri	Hymenoptera	Formicidae	Myrmicinae	Cephalotes	None	Cephalotes rohweri is a species of arboreal ant of the genus Cephalotes, characterized by an odd shaped head, and the ability to "parachute" by steering their fall if they drop off of the tree they're on. Giving their name also as gliding ants.	Wikipedia	None	None	None
Cephalotes varians	Hymenoptera	Formicidae	Myrmicinae	Cephalotes	None	Cephalotes varians is a species of arboreal ant of the genus Cephalotes with the common name turtle ant. Characterized by an odd, shaped head that allows them to block the nest entrance holes and prevents enemies from gaining access to their nest, their ability to "parachute" by steering their fall if they drop off of the tree they are on also makes them one of several species known as gliding ants. When disturbed, they truck their antennae and legs beneath flanges on their head and body, crouch down, and freeze, thus passively resisting attacks.	Wikipedia	None	None	None
Cephus cinctus	Hymenoptera	Cephidae	None	Cephus	wheat stem sawfly	Cephus cinctus is a slow flying, yellow and black coloured, destructive pest found mainly in western North America.	Steven Mlodinow@BY-NC	GCA_000341935.1	Scaffold	C:99.2%[S:98.9%,D:0.3%],F:0.3%,M:0.5%,n:1367
Ceratitis capitata	Diptera	Tephritidae	Dacinae	Ceratitis	Mediterranean fruit fly or medfly	Ceratitis capitata is a yellow and brown fruit pest that originates from sub-Saharan Africa. C. capitata has no near relatives in the Western Hemisphere and is considered to be one of the most destructive fruit pests in the world. There have been occasional medfly infestations in the states of California, Florida, and Texas that required extensive eradication efforts to prevent the fly from establishing itself in the US.	Katja Schulz@BY	GCA_000347755.4	Scaffold	C:99.4%[S:99.3%,D:0.1%],F:0.2%,M:0.4%,n:1367
