序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
64	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp06	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941785.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
65	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp02	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941795.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
66	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp01	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941865.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
67	Symbiont	Coleoptera	Melyridae	Dasytinae	Dasytes virens	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dvir	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041942055.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
68	Symbiont	Coleoptera	Melyridae	Dasytinae	Dasytes seminudus	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dsem	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041942865.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
69	Symbiont	Coleoptera	Melyridae	Dasytinae	Dasytes plumbeus	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dplu	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041943675.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
70	Symbiont	Coleoptera	Melyridae	Dasytinae	Dasytes lineellus	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dlin	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041944325.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
71	Symbiont	Coleoptera	Melyridae	Dasytinae	Dasytes alpigradus	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dalp	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041944835.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
72	Symbiont	Coleoptera	Melyridae	Dasytinae	Dasytes aeratus	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Daer	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041945105.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
73	Symbiont	None	None	None	soft-winged flower beetles	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	PRJNA1068458	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
74	Symbiont	Coleoptera	Chrysomelidae	Cassidinae	Chelymorpha alternans	Pseudomonadota	Enterobacterales	Candidatus Stammera	Genus	Candidatus Stammera	Stammera	Bacteria	decoupled in adult beetles to match the nutritional and reproductive requirements of its host.	Fertility,Nutrient provision	https://figshare.com/s/ae23eaac5c6703c75912.	Extracellular symbiont colonizes insect during embryo development	10.1093/ismeco/ycae005	ISME COMMUNICATIONS	2024	None
75	Symbiont	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	Bacillota	Bacillales	Mammaliicoccus	Genus	Mammaliicoccus	Mammaliicoccus sciuri	Bacteria	could produce a secreted chitinolytic lysozyme (termed Msp1) to damage fungal cell walls，completely inhibit the spore germination of fungal entomopathogens Metarhizium robertsii and Beauveria bassiana	Antimicrobials,Fungal farming	SRR22731736-SRR22731691	From phyllosphere to insect cuticles: silkworms gather antifungal bacteria from mulberry leaves to battle fungal parasite attacks	10.1186/s40168-024-01764-6	MICROBIOME	2024	PRJNA911351 （silkworm larvae cuticular microbiomes）
76	Amplicon	Lepidoptera	Pyralidae	Galleriinae	Bombyx mori	None	None	None	None	None	silkworm metagenome	Bacteria	could produce a secreted chitinolytic lysozyme (termed Msp1) to damage fungal cell walls，completely inhibit the spore germination of fungal entomopathogens Metarhizium robertsii and Beauveria bassiana	Antimicrobials,Fungal farming	SRR22731736-SRR22731691	From phyllosphere to insect cuticles: silkworms gather antifungal bacteria from mulberry leaves to battle fungal parasite attacks	10.1186/s40168-024-01764-6	MICROBIOME	2024	PRJNA911351 （silkworm larvae cuticular microbiomes）
77	Amplicon	Hymenoptera	Siricidae	None	Sirex noctilio	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR26989677-SRR26989687	Functional and Compositional Changes in Sirex noctilio Gut Microbiome in Different Habitats: Unraveling the Complexity of Invasive Adaptation	10.3390/ijms25052526	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2024	None
78	Amplicon	Spirobolida	Pachybolidae	None	Epibolus pulchripes	None	None	None	None	None	gut bacteria	Bacteria	gut symbiont	None	SRR26093232-SRR26093263,SRR26091609-SRR26091624	Functional similarity, despite taxonomical divergence in the millipede gut microbiota, points to a common trophic strategy	10.1186/s40168-023-01731-7	MICROBIOME	2024	None
79	Amplicon	Glomerida	Glomeridae	None	Glomeris connexa	None	None	None	None	None	gut bacteria	Bacteria	gut symbiont	None	SRR26093232-SRR26093263,SRR26091609-SRR26091624	Functional similarity, despite taxonomical divergence in the millipede gut microbiota, points to a common trophic strategy	10.1186/s40168-023-01731-7	MICROBIOME	2024	None
80	Symbiont	Hymenoptera	Formicidae	Pseudomyrmecinae	Sirex juvencus	Basidiomycota	Russulales	Amylostereum	Genus	Amylostereum	Amylostereum chailletii	Fungi	None	None	OR982194-OR982320	Fungal Communities Associated with Siricid Wood Wasps: Focus on Sirex juvencus, Urocerus gigas, and Tremex fuscicornis	10.3390/insects15010049	Insects	2024	None
81	Symbiont	Hymenoptera	Formicidae	Pseudomyrmecinae	Urocerus gigas	Basidiomycota	Russulales	Amylostereum	Genus	Amylostereum	Amylostereum chailletii	Fungi	None	None	OR982194-OR982320	Fungal Communities Associated with Siricid Wood Wasps: Focus on Sirex juvencus, Urocerus gigas, and Tremex fuscicornis	10.3390/insects15010049	Insects	2024	None
82	Symbiont	Hymenoptera	Formicidae	Pseudomyrmecinae	Tremex fuscicornis	Basidiomycota	Russulales	Amylostereum	Genus	Amylostereum	Amylostereum chailletii	Fungi	None	None	OR982194-OR982320	Fungal Communities Associated with Siricid Wood Wasps: Focus on Sirex juvencus, Urocerus gigas, and Tremex fuscicornis	10.3390/insects15010049	Insects	2024	None
83	Symbiont	Hymenoptera	Megachilidae	Megachilinae	Osmia cornifrons	Pseudomonadota	Burkholderiales	Delftia	Genus	Delftia	Delftia	Bacteria	be known to exhibit antibiotic activity, suggesting their potential protective role against pathogens	Immune priming	None	Fungicide ingestion reduces net energy gain and microbiome diversity of the solitary mason bee	10.1038/s41598-024-53935-y	SCIENTIFIC REPORTS	2024	None
84	Symbiont	Hymenoptera	Megachilidae	Megachilinae	Osmia cornifrons	Actinomycetota	Micrococcales	Microbacterium	Genus	Microbacterium	Microbacterium	Bacteria	In O. cornifrons larvae, Microbacterium could contribute to the balance and resiliency of the gut microbiome under stress conditions. In addition, Rhodococcus was found in O. cornifrons larvae and is known for its detoxification capabilities	Pesticide metabolization,Probiotic,Nutrient provision	None	Fungicide ingestion reduces net energy gain and microbiome diversity of the solitary mason bee	10.1038/s41598-024-53935-y	SCIENTIFIC REPORTS	2024	None
85	Symbiont	Hymenoptera	Megachilidae	Megachilinae	Osmia cornifrons	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas	Bacteria	this bacterium has been shown to contribute to the synthesis of a defensive toxin in the beetle, Paederus fuscipes, and promotes arginine metabolism under in vitro conditions	Growth and Development,Immune priming	None	Fungicide ingestion reduces net energy gain and microbiome diversity of the solitary mason bee	10.1038/s41598-024-53935-y	SCIENTIFIC REPORTS	2024	None
86	Symbiont	Diptera	Nycteribiidae	Nycteribiinae	Penicillidia jenynsii	Pseudomonadota	Enterobacterales	Candidatus Aschnera	Genus	Candidatus Aschnera	Candidatus Aschnera chinzeii	Bacteria	Aschnera provides these vitamins and cofactors, such as biotin (vitamin B7), tetrahydrofolate (vitamin B9), riboflavin (vitamin B2), and pyridoxal 5'-phosphate (vitamin B6)	Nutrient provision	DRR505509,DRR505510,AP028961, AP028962	Genome analysis of “Candidatus Aschnera chinzeii,” the bacterial endosymbiont of the blood-sucking bat fly Penicillidia jenynsii (Insecta: Diptera: Nycteribiidae)	10.3389/fmicb.2023.1336919	Frontiers in Microbiology	2024	None
87	Symbiont	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon pisum	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Genus	Spiroplasma	Spiroplasma	Bacteria	None	None	DRA017149	Genomic insights into Spiroplasma endosymbionts that induce male-killing and protective phenotypes in the pea aphid	10.1093/femsle/fnae027	FEMS MICROBIOLOGY LETTERS	2024	None
88	Symbiont	Lepidoptera	Bombycidae	Bombycinae	Bombyx mori	Pseudomonadota	Pseudomonadales	Pseudomonas	Genus	Pseudomonas	Pseudomonas fulva ZJU1	Bacteria	Pseudomonas fulva ZJU1 can degrade and utilize the mulberry-derived secondary metabolite, 1-deoxynojirimycin (DNJ) as the sole energy source, and after inoculation into nonspecialists, P. fulva ZJU1 increased host resistance to DNJ and significantly promoted growth	Pesticide metabolization	GCA_023517795.1	Gut bacteria of lepidopteran herbivores facilitate digestion of plant toxins	10.1073/pnas.2412165121	Proceedings of the National Academy of Sciences	2024	None
89	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Pseudomonadota	Burkholderiales	Burkholderia	Genus	Burkholderia	Burkholderia cepacia BsNLG8	Bacteria	immune gene Defensin A contribute to the resistance against Nicotine-induced stress in host	Pathogen interaction	None	Gut bacterium Burkholderia cepacia (BsNLG8) and immune gene Defensin A contribute to the resistance against Nicotine-induced stress in Nilaparvata lugens (Stål)	10.1016/j.ecoenv.2024.116371	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY	2024	None
90	Symbiont	Lepidoptera	Erebidae	Arctiinae	Hyphantria cunea	Bacteroidota	Bacteroidales	Bacteroides	Genus	Bacteroides	Bacteroides	Bacteria	enhance the compatibility of invasive pests to new hosts and enable more rapid adaptation to new habitats.	None	None	Gut microbiota facilitate adaptation of invasive moths to new host plants	10.1093/ismejo/wrae031	ISME JOURNAL	2024	None
91	Symbiont	Lepidoptera	Erebidae	Arctiinae	Hyphantria cunea	Bacillota	Lachnospirales	Blautia	Genus	Blautia	Blautia	Bacteria	enhance the compatibility of invasive pests to new hosts and enable more rapid adaptation to new habitats.	None	None	Gut microbiota facilitate adaptation of invasive moths to new host plants	10.1093/ismejo/wrae031	ISME JOURNAL	2024	None
92	Symbiont	Lepidoptera	Erebidae	Arctiinae	Hyphantria cunea	Bacillota	Lachnospirales	Coprococcus	Genus	Coprococcus	Coprococcus	Bacteria	enhance the compatibility of invasive pests to new hosts and enable more rapid adaptation to new habitats.	None	None	Gut microbiota facilitate adaptation of invasive moths to new host plants	10.1093/ismejo/wrae031	ISME JOURNAL	2024	None
93	Symbiont	Blattodea	Blattellidae	None	Blattella germanica	Bacteroidota	Flavobacteriales	Blattabacterium	Genus	Blattabacterium	Blattabacterium cuenoti	Bacteria	obligate endosymbiont	None	None	Gut Microbiota Is Not Essential for Survival and Development in Blattella germanica, but Affects Uric Acid Storage	10.3390/life14010153	LIFE-BASEL	2024	None
94	Symbiont	Blattodea	Blattellidae	None	Blattella germanica	None	None	None	None	None	gut bacteria	Bacteria	gut microbiota is not essential in this species for survival and development throughout its complete life cycle, but it could participate in complementation of host nutrition by helping with food digestion and nutrient absorption	Nutrient provision,Digestive enzymes	None	Gut Microbiota Is Not Essential for Survival and Development in Blattella germanica, but Affects Uric Acid Storage	10.3390/life14010153	LIFE-BASEL	2024	None
95	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera minax	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus faecalis	Bacteria	egrade phenols in unripe citrus in B. minax larvae	Plant secondary metabolites	None	Gut microbiota metagenomics and mediation of phenol degradation in Bactrocera minax (Diptera, Tephritidae)	10.1002/ps.8096	PEST MANAGEMENT SCIENCE	2024	None
96	Symbiont	Diptera	Tephritidae	Dacinae	Bactrocera minax	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia marcescens	Bacteria	egrade phenols in unripe citrus in B. minax larvae	Plant secondary metabolites	None	Gut microbiota metagenomics and mediation of phenol degradation in Bactrocera minax (Diptera, Tephritidae)	10.1002/ps.8096	PEST MANAGEMENT SCIENCE	2024	None
97	Metagenome	Hymenoptera	Apidae	Apinae	Apis mellifera	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR27704539-SRR27704549	Gut Microbiota of Apis mellifera at Selected Ontogenetic Stages and Their Immunogenic Potential during Summer	10.3390/pathogens13020122	PATHOGENS	2024	None
98	Amplicon	Coleoptera	Coccinellidae	Coccinellinae	Harmonia axyridis	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRR25774071-SRR25774190	Gut microbiota variation across generations regarding the diet and life stage in Harmonia axyridis (Coleoptera: Coccinellidae)	10.1111/1744-7917.13310	INSECT SCIENCE	2024	None
99	Symbiont	Coleoptera	Coccinellidae	Coccinellinae	Harmonia axyridis	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus	Bacteria	None	None	SRR25774071-SRR25774190	Gut microbiota variation across generations regarding the diet and life stage in Harmonia axyridis (Coleoptera: Coccinellidae)	10.1111/1744-7917.13310	INSECT SCIENCE	2024	None
100	Symbiont	Coleoptera	Coccinellidae	Coccinellinae	Harmonia axyridis	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus	Bacteria	None	None	SRR25774071-SRR25774190	Gut microbiota variation across generations regarding the diet and life stage in Harmonia axyridis (Coleoptera: Coccinellidae)	10.1111/1744-7917.13310	INSECT SCIENCE	2024	None
101	Amplicon	Coleoptera	Coccinellidae	Coccinellinae	Harmonia axyridis	None	None	None	None	None	gut bacteria	Bacteria	None	None	SRX21496711-SRX21496830	Gut microbiota variation across generations regarding the diet and life stage in Harmonia axyridis (Coleoptera: Coccinellidae)	10.1111/1744-7917.13310	INSECT SCIENCE	2024	None
102	Symbiont	Hymenoptera	Apidae	Apinae	Apis mellifera	Pseudomonadota	Orbales	Gilliamella	Genus	Gilliamella	Gilliamella apicola	Bacteria	Gilliamella apicola carries the gene for the desaturase FADS2, which is able to metabolize polyunsaturated fatty acids from pollen and synthesize endocannabinoid, a lipogenic neuroactive substance, thereby modulating reward learning and memory in honeybees.	Plant secondary metabolites,Growth and Development	None	Gut symbiont-derived anandamide promotes reward learning in honeybees by activating the endocannabinoid pathway	10.1016/j.chom.2024.09.013	Cell Host & Microbe	2024	None
103	Symbiont	Hymenoptera	Apidae	Apinae	Apis cerana	Pseudomonadota	Rhodospirillales	Bombella	Genus	Bombella	Bombella apis	Bacteria	Bombella apis could restore larval-to-pupal transition disrupted by antibiotic treatment	Growth and Development	None	Honeybee symbiont Bombella apis could restore larval-to-pupal transition disrupted by antibiotic treatment	10.1016/j.jinsphys.2023.104601	JOURNAL OF INSECT PHYSIOLOGY	2024	None
